Key,Source,Context,Changes,english,schinese
modArmorPlaguePurifierPumpMK3Desc,items,Item,New,"A tri-filter nanite dispersal unit with accelerated purification pulse rate. When afflicted by Plague/Radiation/Wither: instantly [32CD32]cleanses all negative effects[-] and deploys a purifier mist zone of [FFD700]9.5m[-] radius for [FFA500]8.5s[-] ([FFA500]0.9s[-] tick rate). Allies in mist recover [32CD32]10[-] Health/tick and become [708090]immune[-] to plague/radiation/wither. Enemies in mist deal [FF4500]15%[-] less damage. You also gain [32CD32]+32%[-] healing received for [FFA500]8s[-]. Cooldown: [00BFFF]10s[-].","三过滤纳米分散单元——加速净化脉冲频率。受到瘟疫/辐射/凋零影响时：立即[32CD32]清除所有负面效果[-]，在[FFD700]9.5米[-]半径内生成净化雾区域，持续[FFA500]8.5秒[-]（[FFA500]0.9秒[-]跳动间隔）。雾内友方每跳恢复[32CD32]10[-]点生命并获得对瘟疫/辐射/凋零的[708090]免疫[-]。雾内敌人伤害降低[FF4500]15%[-]。自身治疗效果提升[32CD32]+32%[-]，持续[FFA500]8秒[-]。冷却时间：[00BFFF]10秒[-]。"

modArmorPlaguePurifierPumpMK4,items,Item,New,[2E8B57]Plague Purifier Pump MK4[-],[2E8B57]瘟疫净化泵·MK4[-]
modArmorPlaguePurifierPumpMK4Desc,items,Item,New,"A wide-spectrum cleansing reactor capable of turning the tide against biochemical warfare. When afflicted by Plague/Radiation/Wither: instantly [32CD32]cleanses all negative effects[-] and deploys a purifier mist zone of [FFD700]11m[-] radius for [FFA500]9s[-] ([FFA500]0.8s[-] tick rate). Allies in mist recover [32CD32]10[-] Health/tick and become [708090]immune[-] to plague/radiation/wither. Enemies in mist deal [FF4500]15%[-] less damage. You also gain [32CD32]+34%[-] healing received for [FFA500]8s[-]. Cooldown: [00BFFF]10s[-].","广谱净化反应炉——扭转生化战局势之力。受到瘟疫/辐射/凋零影响时：立即[32CD32]清除所有负面效果[-]，在[FFD700]11米[-]半径内生成净化雾区域，持续[FFA500]9秒[-]（[FFA500]0.8秒[-]跳动间隔）。雾内友方每跳恢复[32CD32]10[-]点生命并获得对瘟疫/辐射/凋零的[708090]免疫[-]。雾内敌人伤害降低[FF4500]15%[-]。自身治疗效果提升[32CD32]+34%[-]，持续[FFA500]8秒[-]。冷却时间：[00BFFF]10秒[-]。"

modArmorPlaguePurifierPumpMK5,items,Item,New,[4169E1]Plague Purifier Pump MK5[-],[4169E1]瘟疫净化泵·MK5[-]
modArmorPlaguePurifierPumpMK5Desc,items,Item,New,"A military sanitization array designed for total environmental decontamination in active warzones. When afflicted by Plague/Radiation/Wither: instantly [32CD32]cleanses all negative effects[-] and deploys a purifier mist zone of [FFD700]12.5m[-] radius for [FFA500]9.5s[-] ([FFA500]0.7s[-] tick rate). Allies in mist recover [32CD32]10[-] Health/tick and become [708090]immune[-] to plague/radiation/wither. Enemies in mist deal [FF4500]15%[-] less damage. You also gain [32CD32]+36%[-] healing received for [FFA500]8s[-]. Cooldown: [00BFFF]10s[-].","军用消毒阵列——专为活跃战区环境全面净化而设计。受到瘟疫/辐射/凋零影响时：立即[32CD32]清除所有负面效果[-]，在[FFD700]12.5米[-]半径内生成净化雾区域，持续[FFA500]9.5秒[-]（[FFA500]0.7秒[-]跳动间隔）。雾内友方每跳恢复[32CD32]10[-]点生命并获得对瘟疫/辐射/凋零的[708090]免疫[-]。雾内敌人伤害降低[FF4500]15%[-]。自身治疗效果提升[32CD32]+36%[-]，持续[FFA500]8秒[-]。冷却时间：[00BFFF]10秒[-]。"

modArmorPlaguePurifierPumpMK6,items,Item,New,[9932CC]Plague Purifier Pump MK6[-],[9932CC]瘟疫净化泵·MK6[-]
modArmorPlaguePurifierPumpMK6Desc,items,Item,New,"A singularity-grade purification core — when the world rots, you breathe clean. When afflicted by Plague/Radiation/Wither: instantly [32CD32]cleanses all negative effects[-] and deploys a purifier mist zone of [FFD700]14m[-] radius for [FFA500]10s[-] ([FFA500]0.6s[-] tick rate). Allies in mist recover [32CD32]10[-] Health/tick and become [708090]immune[-] to plague/radiation/wither. Enemies in mist deal [FF4500]15%[-] less damage. You also gain [32CD32]+38%[-] healing received for [FFA500]8s[-]. Cooldown: [00BFFF]10s[-].","奇点级净化核心——世界腐烂之际，你呼吸纯净。受到瘟疫/辐射/凋零影响时：立即[32CD32]清除所有负面效果[-]，在[FFD700]14米[-]半径内生成净化雾区域，持续[FFA500]10秒[-]（[FFA500]0.6秒[-]跳动间隔）。雾内友方每跳恢复[32CD32]10[-]点生命并获得对瘟疫/辐射/凋零的[708090]免疫[-]。雾内敌人伤害降低[FF4500]15%[-]。自身治疗效果提升[32CD32]+38%[-]，持续[FFA500]8秒[-]。冷却时间：[00BFFF]10秒[-]。"

modArmorThornDeflectionPlateA7,items,Item,New,[8B4513]Thorn Deflection Plate A7[-],[8B4513]荆棘偏转甲·A7[-]
modArmorThornDeflectionPlateA7Desc,items,Item,New,"A reactive carapace plate that retaliates with a spray of serrated shrapnel upon impact. On receiving damage: [FFA500]35%[-] chance to unleash a [FFD700]4m[-] radius Slashing burst dealing [FF4500]100[-] damage with [708090]knockback[-], inflicting [FF4500]bleeding[-] on affected enemies.","反应式甲壳板——受击时迸射锯齿破片以牙还牙。受到伤害时：[FFA500]35%[-]概率在[FFD700]4米[-]半径内释放斩击爆发，造成[FF4500]100[-]点[708090]击退[-]伤害并令命中敌人陷入[FF4500]流血[-]。"

modArmorThornDeflectionPlateA72,items,Item,New,[FF8C00]Thorn Deflection Plate A72[-],[FF8C00]荆棘偏转甲·A72[-]
modArmorThornDeflectionPlateA72Desc,items,Item,New,"A reinforced reactive plate with denser shrapnel matrix and wider fragmentation arc. On receiving damage: [FFA500]45%[-] chance to unleash a [FFD700]6m[-] radius Slashing burst dealing [FF4500]150[-] damage with [708090]knockback[-], inflicting [FF4500]bleeding[-] on affected enemies.","强化型反应甲板——更密集破片矩阵，更宽碎甲弧。受到伤害时：[FFA500]45%[-]概率在[FFD700]6米[-]半径内释放斩击爆发，造成[FF4500]150[-]点[708090]击退[-]伤害并令命中敌人陷入[FF4500]流血[-]。"

modArmorThornDeflectionPlateA73,items,Item,New,[B8860B]Thorn Deflection Plate A73[-],[B8860B]荆棘偏转甲·A73[-]
modArmorThornDeflectionPlateA73Desc,items,Item,New,"An overclocked reactive plate with expanded kill-zone and brutal shred-force. On receiving damage: [FFA500]49%[-] chance to unleash a [FFD700]7m[-] radius Slashing burst dealing [FF4500]195[-] damage with [708090]knockback[-], inflicting [FF4500]bleeding[-] on affected enemies.","超频反应甲板——拓展杀戮区域与残暴撕扯力。受到伤害时：[FFA500]49%[-]概率在[FFD700]7米[-]半径内释放斩击爆发，造成[FF4500]195[-]点[708090]击退[-]伤害并令命中敌人陷入[FF4500]流血[-]。"

modArmorThornDeflectionPlateA74,items,Item,New,[2E8B57]Thorn Deflection Plate A74[-],[2E8B57]荆棘偏转甲·A74[-]
modArmorThornDeflectionPlateA74Desc,items,Item,New,"A heavy riposte carapace that turns defense into a bladed massacre. On receiving damage: [FFA500]53%[-] chance to unleash a [FFD700]8m[-] radius Slashing burst dealing [FF4500]240[-] damage with [708090]knockback[-], inflicting [FF4500]bleeding[-] on affected enemies.","重型反击甲壳——化防御为利刃屠杀。受到伤害时：[FFA500]53%[-]概率在[FFD700]8米[-]半径内释放斩击爆发，造成[FF4500]240[-]点[708090]击退[-]伤害并令命中敌人陷入[FF4500]流血[-]。"

modArmorThornDeflectionPlateA75,items,Item,New,[4169E1]Thorn Deflection Plate A75[-],[4169E1]荆棘偏转甲·A75[-]
modArmorThornDeflectionPlateA75Desc,items,Item,New,"A battleground reaper plate — every blow you take becomes a death sentence to those nearby. On receiving damage: [FFA500]57%[-] chance to unleash a [FFD700]9m[-] radius Slashing burst dealing [FF4500]285[-] damage with [708090]knockback[-], inflicting [FF4500]bleeding[-] on affected enemies.","战场收割甲板——你所承受的每一击皆为周身的死刑宣判。受到伤害时：[FFA500]57%[-]概率在[FFD700]9米[-]半径内释放斩击爆发，造成[FF4500]285[-]点[708090]击退[-]伤害并令命中敌人陷入[FF4500]流血[-]。"

modArmorThornDeflectionPlateA76,items,Item,New,[9932CC]Thorn Deflection Plate A76[-],[9932CC]荆棘偏转甲·A76[-]
modArmorThornDeflectionPlateA76Desc,items,Item,New,"A mythic-grade razor storm generator — the mere act of striking you invites a hurricane of steel. On receiving damage: [FFA500]61%[-] chance to unleash a [FFD700]10m[-] radius Slashing burst dealing [FF4500]330[-] damage with [708090]knockback[-], inflicting [FF4500]bleeding[-] on affected enemies.","神话级利刃风暴发生器——攻击你的行为本身便邀请钢铁飓风。受到伤害时：[FFA500]61%[-]概率在[FFD700]10米[-]半径内释放斩击爆发，造成[FF4500]330[-]点[708090]击退[-]伤害并令命中敌人陷入[FF4500]流血[-]。"

modArmorCalamityStabilityFieldMK1,items,Item,New,[8B4513]Calamity Stability Field MK1[-],[8B4513]灾厄稳定场·MK1[-]
modArmorCalamityStabilityFieldMK1Desc,items,Item,New,"A localized reality anchor that counteracts dimensional corruption and withering energies. When afflicted by Calamity/Wither: generates a stabilization field of [FFD700]15m[-] radius for [FFA500]8s[-]. Allies in field gain [708090]+20%[-] Buff Resistance, [FF8C00]+10%[-] movement speed, and [32CD32]+20%[-] stamina recovery. Enemies in field are [708090]knocked back[-] and accumulate elemental weakness stacks (max [FFA500]3[-], each [FF4500]-5%[-] elemental resistance). Cooldown: [00BFFF]30s[-].","局部现实锚定装置——反制维度腐化与凋零能量。受到灾厄/凋零影响时：在[FFD700]15米[-]半径内生成稳定场，持续[FFA500]8秒[-]。场内友方获得[708090]+20%[-]Buff抗性、[FF8C00]+10%[-]移动速度与[32CD32]+20%[-]耐力恢复。场内敌人被[708090]击退[-]并累积元素弱点层数（最多[FFA500]3[-]层，每层[FF4500]-5%[-]元素抗性）。冷却时间：[00BFFF]30秒[-]。"
buffMK1CalamityStabilityFieldPlayerName,buffs,Buff,New,Stability Field,稳定场
buffMK1CalamityStabilityFieldPlayerDesc,buffs,Buff,New,Buff Resistance [708090]+20%[-]; movement speed [FF8C00]+10%[-]; stamina recovery [32CD32]+20%[-].,Buff抗性[708090]+20%[-]；移动速度[FF8C00]+10%[-]；耐力恢复[32CD32]+20%[-]。

modArmorCalamityStabilityFieldMK2,items,Item,New,[FF8C00]Calamity Stability Field MK2[-],[FF8C00]灾厄稳定场·MK2[-]
modArmorCalamityStabilityFieldMK2Desc,items,Item,New,"A reinforced reality anchor with expanded spatial coverage and reduced cooldown. When afflicted by Calamity/Wither: generates a stabilization field of [FFD700]20m[-] radius for [FFA500]14s[-]. Allies in field gain [708090]+20%[-] Buff Resistance, [FF8C00]+10%[-] movement speed, and [32CD32]+20%[-] stamina recovery. Enemies in field are [708090]knocked back[-] and accumulate elemental weakness stacks (max [FFA500]3[-], each [FF4500]-5%[-] elemental resistance). Cooldown: [00BFFF]20s[-].","强化型现实锚定装置——拓展空间覆盖并缩短冷却时间。受到灾厄/凋零影响时：在[FFD700]20米[-]半径内生成稳定场，持续[FFA500]14秒[-]。场内友方获得[708090]+20%[-]Buff抗性、[FF8C00]+10%[-]移动速度与[32CD32]+20%[-]耐力恢复。场内敌人被[708090]击退[-]并累积元素弱点层数（最多[FFA500]3[-]层，每层[FF4500]-5%[-]元素抗性）。冷却时间：[00BFFF]20秒[-]。"
buffMK2CalamityStabilityFieldPlayerName,buffs,Buff,New,Stability Field,稳定场
buffMK2CalamityStabilityFieldPlayerDesc,buffs,Buff,New,Buff Resistance [708090]+20%[-]; movement speed [FF8C00]+10%[-]; stamina recovery [32CD32]+20%[-].,Buff抗性[708090]+20%[-]；移动速度[FF8C00]+10%[-]；耐力恢复[32CD32]+20%[-]。

modArmorCalamityStabilityFieldMK3,items,Item,New,[B8860B]Calamity Stability Field MK3[-],[B8860B]灾厄稳定场·MK3[-]
modArmorCalamityStabilityFieldMK3Desc,items,Item,New,"An exponentially scaled reality anchor with wider dimensional lock-down radius. When afflicted by Calamity/Wither: generates a stabilization field of [FFD700]23.75m[-] radius for [FFA500]14.8s[-]. Allies in field gain [708090]+20%[-] Buff Resistance, [FF8C00]+10%[-] movement speed, and [32CD32]+20%[-] stamina recovery. Enemies in field are [708090]knocked back[-] and accumulate elemental weakness stacks (max [FFA500]3[-], each [FF4500]-5%[-] elemental resistance). Cooldown: [00BFFF]20s[-].","指数级扩增现实锚定——更广维度封锁半径。受到灾厄/凋零影响时：在[FFD700]23.75米[-]半径内生成稳定场，持续[FFA500]14.8秒[-]。场内友方获得[708090]+20%[-]Buff抗性、[FF8C00]+10%[-]移动速度与[32CD32]+20%[-]耐力恢复。场内敌人被[708090]击退[-]并累积元素弱点层数（最多[FFA500]3[-]层，每层[FF4500]-5%[-]元素抗性）。冷却时间：[00BFFF]20秒[-]。"

modArmorCalamityStabilityFieldMK4,items,Item,New,[2E8B57]Calamity Stability Field MK4[-],[2E8B57]灾厄稳定场·MK4[-]
modArmorCalamityStabilityFieldMK4Desc,items,Item,New,"A continental-grade reality anchor capable of pacifying entire combat zones from dimensional collapse. When afflicted by Calamity/Wither: generates a stabilization field of [FFD700]27.5m[-] radius for [FFA500]15.6s[-]. Allies in field gain [708090]+20%[-] Buff Resistance, [FF8C00]+10%[-] movement speed, and [32CD32]+20%[-] stamina recovery. Enemies in field are [708090]knocked back[-] and accumulate elemental weakness stacks (max [FFA500]3[-], each [FF4500]-5%[-] elemental resistance). Cooldown: [00BFFF]20s[-].","大陆级现实锚定——足以安抚整片战区免于维度崩塌。受到灾厄/凋零影响时：在[FFD700]27.5米[-]半径内生成稳定场，持续[FFA500]15.6秒[-]。场内友方获得[708090]+20%[-]Buff抗性、[FF8C00]+10%[-]移动速度与[32CD32]+20%[-]耐力恢复。场内敌人被[708090]击退[-]并累积元素弱点层数（最多[FFA500]3[-]层，每层[FF4500]-5%[-]元素抗性）。冷却时间：[00BFFF]20秒[-]。"

modArmorCalamityStabilityFieldMK5,items,Item,New,[4169E1]Calamity Stability Field MK5[-],[4169E1]灾厄稳定场·MK5[-]
modArmorCalamityStabilityFieldMK5Desc,items,Item,New,"A planetary-scale dimensional fortress — you do not merely resist corruption; you overwrite local reality. When afflicted by Calamity/Wither: generates a stabilization field of [FFD700]31.25m[-] radius for [FFA500]16.4s[-]. Allies in field gain [708090]+20%[-] Buff Resistance, [FF8C00]+10%[-] movement speed, and [32CD32]+20%[-] stamina recovery. Enemies in field are [708090]knocked back[-] and accumulate elemental weakness stacks (max [FFA500]3[-], each [FF4500]-5%[-] elemental resistance). Cooldown: [00BFFF]20s[-].","行星级维度堡垒——你不再仅仅抵御腐化，而是覆写局部现实。受到灾厄/凋零影响时：在[FFD700]31.25米[-]半径内生成稳定场，持续[FFA500]16.4秒[-]。场内友方获得[708090]+20%[-]Buff抗性、[FF8C00]+10%[-]移动速度与[32CD32]+20%[-]耐力恢复。场内敌人被[708090]击退[-]并累积元素弱点层数（最多[FFA500]3[-]层，每层[FF4500]-5%[-]元素抗性）。冷却时间：[00BFFF]20秒[-]。"

modArmorCalamityStabilityFieldMK6,items,Item,New,[9932CC]Calamity Stability Field MK6[-],[9932CC]灾厄稳定场·MK6[-]
modArmorCalamityStabilityFieldMK6Desc,items,Item,New,"The terminal reality anchor — space and time obey your will within this field. When afflicted by Calamity/Wither: generates a stabilization field of [FFD700]35m[-] radius for [FFA500]17.2s[-]. Allies in field gain [708090]+20%[-] Buff Resistance, [FF8C00]+10%[-] movement speed, and [32CD32]+20%[-] stamina recovery. Enemies in field are [708090]knocked back[-] and accumulate elemental weakness stacks (max [FFA500]3[-], each [FF4500]-5%[-] elemental resistance). Cooldown: [00BFFF]20s[-].","终极现实锚定——在此场内，空间与时间服从你的意志。受到灾厄/凋零影响时：在[FFD700]35米[-]半径内生成稳定场，持续[FFA500]17.2秒[-]。场内友方获得[708090]+20%[-]Buff抗性、[FF8C00]+10%[-]移动速度与[32CD32]+20%[-]耐力恢复。场内敌人被[708090]击退[-]并累积元素弱点层数（最多[FFA500]3[-]层，每层[FF4500]-5%[-]元素抗性）。冷却时间：[00BFFF]20秒[-]。"

modArmorEmberRekindlePlateA9,items,Item,New,[8B4513]Ember Rekindle Plate A9[-],[8B4513]余烬复燃板·A9[-]
modArmorEmberRekindlePlateA9Desc,items,Item,New,"A palm-mounted incendiary array that erupts on impact — fire begets fire. When damaged: [FFA500]20%[-] chance to trigger a [FFD700]4m[-] radius Heat eruption dealing [FF4500]500[-] damage and igniting enemies. On weapon hit: [FFA500]10%[-] chance to trigger eruption. Killing a burning enemy detonates them in a [FFD700]3m[-] corpse explosion dealing [FF4500]250[-] Heat damage.","掌载燃烧阵列——受击即喷发，火焰孕育火焰。受到伤害时：[FFA500]20%[-]概率在[FFD700]4米[-]半径内触发火焰喷发，造成[FF4500]500[-]点高温伤害并点燃敌人。武器命中时：[FFA500]10%[-]概率触发喷发。击杀燃烧敌人时引发[FFD700]3米[-]尸爆，造成[FF4500]250[-]点高温伤害。"

modArmorEmberRekindlePlateA92,items,Item,New,[FF8C00]Ember Rekindle Plate A92[-],[FF8C00]余烬复燃板·A92[-]
modArmorEmberRekindlePlateA92Desc,items,Item,New,"A reinforced palm-ignition module with wider eruption radius and explosive corpse detonation. When damaged: [FFA500]25%[-] chance to trigger a [FFD700]5m[-] radius Heat eruption dealing [FF4500]650[-] damage and igniting enemies. On weapon hit: [FFA500]15%[-] chance to trigger eruption. Killing a burning enemy detonates them in a [FFD700]4m[-] corpse explosion dealing [FF4500]450[-] Heat damage.","强化型掌载点火模块——拓展喷发半径与尸爆威力。受到伤害时：[FFA500]25%[-]概率在[FFD700]5米[-]半径内触发火焰喷发，造成[FF4500]650[-]点高温伤害并点燃敌人。武器命中时：[FFA500]15%[-]概率触发喷发。击杀燃烧敌人时引发[FFD700]4米[-]尸爆，造成[FF4500]450[-]点高温伤害。"

modArmorEmberRekindlePlateA93,items,Item,New,[B8860B]Ember Rekindle Plate A93[-],[B8860B]余烬复燃板·A93[-]
modArmorEmberRekindlePlateA93Desc,items,Item,New,"An overclocked combustion array with higher trigger sensitivity and blast intensity. When damaged: [FFA500]27%[-] chance to trigger a [FFD700]6m[-] radius Heat eruption dealing [FF4500]875[-] damage and igniting enemies. On weapon hit: [FFA500]16%[-] chance to trigger eruption. Killing a burning enemy detonates them in a [FFD700]4.75m[-] corpse explosion dealing [FF4500]585[-] Heat damage.","超频燃烧阵列——更高触发灵敏度与爆炸强度。受到伤害时：[FFA500]27%[-]概率在[FFD700]6米[-]半径内触发火焰喷发，造成[FF4500]875[-]点高温伤害并点燃敌人。武器命中时：[FFA500]16%[-]概率触发喷发。击杀燃烧敌人时引发[FFD700]4.75米[-]尸爆，造成[FF4500]585[-]点高温伤害。"

modArmorEmberRekindlePlateA94,items,Item,New,[2E8B57]Ember Rekindle Plate A94[-],[2E8B57]余烬复燃板·A94[-]
modArmorEmberRekindlePlateA94Desc,items,Item,New,"A furnace-core gauntlet — the battlefield becomes your personal crematorium. When damaged: [FFA500]29%[-] chance to trigger a [FFD700]7m[-] radius Heat eruption dealing [FF4500]1100[-] damage and igniting enemies. On weapon hit: [FFA500]17%[-] chance to trigger eruption. Killing a burning enemy detonates them in a [FFD700]5.5m[-] corpse explosion dealing [FF4500]720[-] Heat damage.","熔炉核心护手——战场化为你的私人火葬场。受到伤害时：[FFA500]29%[-]概率在[FFD700]7米[-]半径内触发火焰喷发，造成[FF4500]1100[-]点高温伤害并点燃敌人。武器命中时：[FFA500]17%[-]概率触发喷发。击杀燃烧敌人时引发[FFD700]5.5米[-]尸爆，造成[FF4500]720[-]点高温伤害。"

modArmorEmberRekindlePlateA95,items,Item,New,[4169E1]Ember Rekindle Plate A95[-],[4169E1]余烬复燃板·A95[-]
modArmorEmberRekindlePlateA95Desc,items,Item,New,"An inferno-core armament — your strikes leave nothing but ash and embers. When damaged: [FFA500]31%[-] chance to trigger a [FFD700]8m[-] radius Heat eruption dealing [FF4500]1325[-] damage and igniting enemies. On weapon hit: [FFA500]18%[-] chance to trigger eruption. Killing a burning enemy detonates them in a [FFD700]6.25m[-] corpse explosion dealing [FF4500]855[-] Heat damage.","炼狱核心武装——你的打击只留下灰烬与余火。受到伤害时：[FFA500]31%[-]概率在[FFD700]8米[-]半径内触发火焰喷发，造成[FF4500]1325[-]点高温伤害并点燃敌人。武器命中时：[FFA500]18%[-]概率触发喷发。击杀燃烧敌人时引发[FFD700]6.25米[-]尸爆，造成[FF4500]855[-]点高温伤害。"

modArmorEmberRekindlePlateA96,items,Item,New,[9932CC]Ember Rekindle Plate A96[-],[9932CC]余烬复燃板·A96[-]
modArmorEmberRekindlePlateA96Desc,items,Item,New,"A solar-flare ignition matrix — you are the spark that ends worlds. When damaged: [FFA500]33%[-] chance to trigger a [FFD700]9m[-] radius Heat eruption dealing [FF4500]1550[-] damage and igniting enemies. On weapon hit: [FFA500]19%[-] chance to trigger eruption. Killing a burning enemy detonates them in a [FFD700]7m[-] corpse explosion dealing [FF4500]990[-] Heat damage.","太阳耀斑点火矩阵——你是终结世界的火花。受到伤害时：[FFA500]33%[-]概率在[FFD700]9米[-]半径内触发火焰喷发，造成[FF4500]1550[-]点高温伤害并点燃敌人。武器命中时：[FFA500]19%[-]概率触发喷发。击杀燃烧敌人时引发[FFD700]7米[-]尸爆，造成[FF4500]990[-]点高温伤害。"

modArmorWitherAdaptiveExoskeletonP10,items,Item,New,[9932CC]Wither Adaptive Exoskeleton P10[-],[9932CC]凋零适应外骨骼·P10[-]
modArmorWitherAdaptiveExoskeletonP10Desc,items,Item,New,"A biomechanical exoskeleton evolved specifically to resist and overwrite dimensional corruption. Passively grants [708090]+15%[-] Elemental Resistance, [708090]+15%[-] Physical Resistance, [FF8C00]+10%[-] movement speed, [32CD32]+35[-] Max Health, and [FFD700]+30[-] Max Stamina. Every [FFA500]10s[-]: automatically [32CD32]cleanses[-] Calamity/Wither debuffs and grants [708090]immunity[-] to them for [FFA500]5s[-].","专为抵御与覆写维度腐化而进化的生物机械外骨骼。常驻[708090]+15%[-]元素抗性、[708090]+15%[-]物理抗性、[FF8C00]+10%[-]移动速度、[32CD32]+35[-]最大生命值与[FFD700]+30[-]最大耐力。每[FFA500]10秒[-]：自动[32CD32]清除[-]灾厄/凋零减益效果并获得[708090]免疫[-]，持续[FFA500]5秒[-]。"
buffP10WitherAdaptiveExoskeletonImmunityName,buffs,Buff,New,Wither Immunity,凋零免疫
buffP10WitherAdaptiveExoskeletonImmunityDesc,buffs,Buff,New,Immune to Wither and Calamity debuffs.,免疫凋零与灾厄效果。

modWeaponFireChaserSwarmWA1,items,Item,New,[8B4513]Fire Chaser Swarm WA1[-],[8B4513]追火蜂群模块·WA1[-]
modWeaponFireChaserSwarmWA1Desc,items,Item,New,"A swarm-intelligence micro-missile hive that launches heat-seeking firebolts on impact. On Primary/Secondary hit: [FFA500]10%[-] chance to launch [FFA500]5[-] homing firebolts, each dealing [FF4500]25%[-] weapon damage as Heat in a [FFD700]1.6m[-] radius and [FF4500]igniting[-] enemies.","蜂群智能微型导弹巢——命中时发射热追踪火焰弹。主/副武器命中时：[FFA500]10%[-]概率发射[FFA500]5[-]枚追踪火焰弹，每枚在[FFD700]1.6米[-]半径内造成[FF4500]25%[-]武器伤害的高温伤害并[FF4500]点燃[-]敌人。"

modWeaponFireChaserSwarmWA2,items,Item,New,[FF8C00]Fire Chaser Swarm WA2[-],[FF8C00]追火蜂群模块·WA2[-]
modWeaponFireChaserSwarmWA2Desc,items,Item,New,"An enhanced swarm hive with improved hit-rate, velocity, and explosive yield. On Primary/Secondary hit: [FFA500]13%[-] chance to launch [FFA500]5[-] homing firebolts, each dealing [FF4500]32.5%[-] weapon damage as Heat in a [FFD700]1.92m[-] radius and [FF4500]igniting[-] enemies.","强化型蜂群巢——提升命中率、弹速与爆炸当量。主/副武器命中时：[FFA500]13%[-]概率发射[FFA500]5[-]枚追踪火焰弹，每枚在[FFD700]1.92米[-]半径内造成[FF4500]32.5%[-]武器伤害的高温伤害并[FF4500]点燃[-]敌人。"

modWeaponFireChaserSwarmWA3,items,Item,New,[B8860B]Fire Chaser Swarm WA3[-],[B8860B]追火蜂群模块·WA3[-]
modWeaponFireChaserSwarmWA3Desc,items,Item,New,"An upgraded swarm launcher with an extra bolt per volley and intensified warhead payload. On Primary/Secondary hit: [FFA500]16%[-] chance to launch [FFA500]6[-] homing firebolts, each dealing [FF4500]42.25%[-] weapon damage as Heat in a [FFD700]2.3m[-] radius and [FF4500]igniting[-] enemies.","升级型蜂群发射器——每轮齐射增加一枚弹头并强化战斗部载荷。主/副武器命中时：[FFA500]16%[-]概率发射[FFA500]6[-]枚追踪火焰弹，每枚在[FFD700]2.3米[-]半径内造成[FF4500]42.25%[-]武器伤害的高温伤害并[FF4500]点燃[-]敌人。"

modWeaponFireChaserSwarmWA4,items,Item,New,[2E8B57]Fire Chaser Swarm WA4[-],[2E8B57]追火蜂群模块·WA4[-]
modWeaponFireChaserSwarmWA4Desc,items,Item,New,"A precision swarm array with significantly improved trigger frequency and blast radius. On Primary/Secondary hit: [FFA500]19%[-] chance to launch [FFA500]6[-] homing firebolts, each dealing [FF4500]54.9%[-] weapon damage as Heat in a [FFD700]2.76m[-] radius and [FF4500]igniting[-] enemies.","精准蜂群阵列——大幅提升触发频率与爆炸半径。主/副武器命中时：[FFA500]19%[-]概率发射[FFA500]6[-]枚追踪火焰弹，每枚在[FFD700]2.76米[-]半径内造成[FF4500]54.9%[-]武器伤害的高温伤害并[FF4500]点燃[-]敌人。"

modWeaponFireChaserSwarmWA5,items,Item,New,[4169E1]Fire Chaser Swarm WA5[-],[4169E1]追火蜂群模块·WA5[-]
modWeaponFireChaserSwarmWA5Desc,items,Item,New,"A war-forged swarm broadcaster — seven bolts per trigger, each a miniature sun. On Primary/Secondary hit: [FFA500]22%[-] chance to launch [FFA500]7[-] homing firebolts, each dealing [FF4500]71.4%[-] weapon damage as Heat in a [FFD700]3.32m[-] radius and [FF4500]igniting[-] enemies.","战铸蜂群播撒器——每轮齐射七枚弹头，每一枚皆为微型太阳。主/副武器命中时：[FFA500]22%[-]概率发射[FFA500]7[-]枚追踪火焰弹，每枚在[FFD700]3.32米[-]半径内造成[FF4500]71.4%[-]武器伤害的高温伤害并[FF4500]点燃[-]敌人。"

modWeaponFireChaserSwarmWA6,items,Item,New,[9932CC]Fire Chaser Swarm WA6[-],[9932CC]追火蜂群模块·WA6[-]
modWeaponFireChaserSwarmWA6Desc,items,Item,New,"The apex swarm intelligence — seven bolts of near-total weapon energy conversion, each a harbinger of immolation. On Primary/Secondary hit: [FFA500]24%[-] chance to launch [FFA500]7[-] homing firebolts, each dealing [FF4500]92.8%[-] weapon damage as Heat in a [FFD700]3.98m[-] radius and [FF4500]igniting[-] enemies.","顶级蜂群智能——七枚近乎完全武器能量转化的弹头，每一枚皆是焚灭先驱。主/副武器命中时：[FFA500]24%[-]概率发射[FFA500]7[-]枚追踪火焰弹，每枚在[FFD700]3.98米[-]半径内造成[FF4500]92.8%[-]武器伤害的高温伤害并[FF4500]点燃[-]敌人。"

modWeaponFrostGrenadeNestWA1,items,Item,New,[8B4513]Frost Grenade Nest WA1[-],[8B4513]冰霜榴弹巢·WA1[-]
