Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,french
perkFlurryOfAgilityRank6LongDesc,progression,perk Agi,,,A whirlwind of slashes leaves nothing but shredded remains.\nKnife attacks are [7CFC00]35%[-] faster.,,Un tourbillon d'entailles qui ne laisse que des morceaux déchiquetés.\nLes attaques au couteau sont [7CFC00]35 %[-] plus rapides.
perkRunAndGunRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Death Dance ★[-],,[FFD700]★ Master: Danse de Mort ★[-]
perkRunAndGunRank6LongDesc,progression,perk Agi,,,You're a deadly trigger man having mastered the art of run and gun.\nHip fire accuracy is improved by [7CFC00]35%[-]\nNo movement penalty when reloading.,,"Votre habilité à la gâchette est dévastatrice, et vous maîtrisez la technique de courir et tirer.\nAugmente la précision au tir au jugé de [7CFC00]35 %[-]\nAucune pénalité de déplacement due au rechargement."
perkHardTargetRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Feline Reflexes ★[-],,[FFD700]★ Master: Réflexes de Félin ★[-]
perkHardTargetRank6LongDesc,progression,perk Agi,,,"When moving, take [7CFC00]35%[-] less damage.",,"Lorsque vous vous déplacez, vous subissez [7CFC00]35 %[-] de dégâts en moins."
perkParkourRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Puma Effect ★[-],,[FFD700]★ Master: L'Effet Puma ★[-]
perkParkourRank6LongDesc,progression,perk Agi,,,"As a parkour master, you can navigate difficult situations easily.\nReduce stamina cost of jumping by [7CFC00]70%[-].\nNever take fall damage\nJump [7CFC00]2[-] meters higher.",,"Vous maîtrisez les techniques de parkour et pouvez évoluer dans les situations difficiles sans problèmes.\nRéduisez de [7CFC00]70 %[-] le coût en endurance des sauts.\nVous ne subissez jamais de dégâts de chute\nAugmentez votre distance de saut sans risque de [7CFC00]2[-] mètres."
perkAgilityMasteryRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Survival Instinct ★[-],,[FFD700]★ Master: Instinct de Survie ★[-]
perkAgilityMasteryRank6LongDesc,progression,perk Agi,,,Leg hits have a [7CFC00]50%[-] chance to instantly cripple enemies\nHandguns reload [7CFC00]30%[-] faster.,,Les tirs dans les jambes ont [7CFC00]50 %[-] de chance d'estropier les ennemis\nLes armes de poing se rechargent [7CFC00]30 %[-] plus rapidement.
perkHiddenStrikeRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Shadow Hand ★[-],,[FFD700]★ Master: Main de l'Ombre ★[-]
perkHiddenStrikeRank6LongDesc,progression,perk Agi,,,You are now the ultimate assassin and can deal maximum sneak damage to your victims. Sneak attacks deal an extra [7CFC00]350%[-] damage.,,Vous êtes désormais un assassin chevronné et êtes capable d'infliger le maximum de dégâts à vos victimes. Les attaques discrètes infligent [7CFC00]350 %[-] de dégâts supplémentaires.
perkFromTheShadowsRank6Desc,progression,perk Agi,,,[FFD700]★ Master: Panther Walk ★[-],,[FFD700]★ Master: Pas de Panthère ★[-]
perkFromTheShadowsRank6LongDesc,progression,perk Agi,,,"Hide in the shadows [7CFC00]85%[-] more effectively, noises from actions are muffled [7CFC00]70%[-] and sneak movement is [7CFC00]70%[-] faster.\nEnemies will search for you for up to [7CFC00]30[-] seconds.",,"Vous cacher dans l'ombre est [7CFC00]85 %[-] plus efficace, les bruits que vous faites sont réduits de [7CFC00]70 %[-], et vous vous déplacez [7CFC00]70 % plus vite en vous accroupissant.\nLes ennemis vous chercheront pendant un maximum de [7CFC00]30[-] secondes."
perkElectrocutionerRank6Desc,progression,perk Int,,,[FFD700]★ Master: High Voltage ★[-],,[FFD700]★ Master: Haute Tension ★[-]
perkElectrocutionerRank6LongDesc,progression,perk Int,,,You're the last thing they see coming and an executioner with batons. All batons deal [7CFC00]70%[-] more damage. Stun batons electrify victims 100% longer. Killing blows grant [7CFC00]40[-] stamina.,,Vous êtes la dernière personne que vos victimes voient : un vrai bourreau avec une matraque. Vous infligez [7CFC00]70 %[-] de dégâts supplémentaires avec les matraques et étourdissez vos victimes 100 % plus longtemps avec les matraques électriques. Les attaques létales confèrent [7CFC00]40[-] points d'endurance.
perkTurretsRank6Desc,progression,perk Int,,,[FFD700]★ Master: Technowarrior ★[-],,[FFD700]★ Master: Technoguerrier ★[-]
perkTurretsRank6LongDesc,progression,perk Int,,,You are now a top expert in robotics. Reload robotic weapons [7CFC00]35%[-] faster and reload an extra [7CFC00]75[-] rounds. Robot active range is [7CFC00]20[-] meters.\n[7CFC00]Four[-] deployed robots can be active at once\nRobotic weapons deal [7CFC00]60%[-] more damage, [7CFC00]200%[-] faster fire rate.,,Vous êtes désormais une sommité en robotique. Vous rechargez les armes robotiques [7CFC00]35 %[-] plus vite et rechargez [7CFC00]75[-] cartouches supplémentaires. La portée active des robots passe à [7CFC00]20[-] mètres.\n[7CFC00]Quatre[-] robots déployés peuvent être activés en même temps\nVous infligez [7CFC00]60 %[-] de dégâts supplémentaires, tirez [7CFC00]200 %[-] plus vite.
perkFlurryOfIntellectRank6Desc,progression,perk Int,,,[FFD700]★ Master: Quicksilver ★[-],,[FFD700]★ Master: Vif-Argent ★[-]
perkFlurryOfIntellectRank6LongDesc,progression,perk Int,,,Predict and use your enemies' movements against them.\nAttack speeds with batons are [7CFC00]35% faster.,,Prédisez et utilisez les mouvements de vos adversaires contre eux.\nAugmente votre vitesse d'attaque avec les matraques de [7CFC00]35 %.
perkBetterBarterRank6Desc,progression,perk Int,,,[FFD700]★ Master: Preferred Partner ★[-],,[FFD700]★ Master: Partenaire Privilégié ★[-]
perkBetterBarterRank6LongDesc,progression,perk Int,,,You are like a Corporate Manager and buy goods at the lowest prices and sell for a huge profit. Get a [7CFC00]40%[-] better deal buying and selling with traders.,,Vous achetez au plus bas prix, et vos ventes vous rapportent un maximum de bénéfices. Tous les articles que vous achetez ou vendez à des marchands profitent d'un bonus de [7CFC00]40 %[-].
perkDaringAdventurerRank6Desc,progression,perk Int,,,[FFD700]★ Master: Envoy of Hope ★[-],,[FFD700]★ Master: Émissaire de l'Espoir ★[-]
perkDaringAdventurerRank6LongDesc,progression,perk Int,,,You are the daring adventurer!\nGain access to better trader items and get [7CFC00]35%[-] more dukes.\nPick [7CFC00]three[-] quest rewards for your daring efforts.,,L'aventure ne vous fait pas peur !\nVous avez accès à une meilleure sélection chez les marchands et gagnez [7CFC00]35 %[-] de pièces Duke supplémentaires.\nVous pouvez choisir [7CFC00]trois[-] récompenses de quête pour vos efforts.
perkCharismaticNatureRank6Desc,progression,perk Int,,,[FFD700]★ Master: High Commander ★[-],,[FFD700]★ Master : Grand Commandant ★[-]
perkCharismaticNatureRank6LongDesc,progression,perk Int,,,You're a true hero.\nAllies and Party Members regenerate lost health [7CFC00]100%[-] faster and gains [7CFC00]20%[-] damage and movement speed.,,Votre héroïsme est indéniable.\nLes Aliées et membres du groupe régénèrent la santé perdue [7CFC00]100 %[-] plus vite et gagne [7CFC00]20%[-] de dégats et de vitesse de déplacement.
perkPhysicianRank6Desc,progression,perk Int,,,[FFD700]★ Master: Medical Authority ★[-],,[FFD700]★ Master : Sommité Médicale ★[-]
perkPhysicianRank6LongDesc,progression,perk Int,,,Your medical knowledge makes removing limbs a breeze!\nGain an additional [7CFC00]30%[-] chance to dismember enemies with batons. Craft items in the Chemistry Station [7CFC00]55%[-] faster\nEach blow landed with a stun baton has a [7CFC00]20%[-] chance for instant death.,,Vos connaissances médicales rendent les amputations vraiment aisées !\nObtenez [7CFC00]30 %[-] de chance supplémentaire de démembrer vos ennemis avec les matraques. Fabriquez des objets dans l'atelier de chimie [7CFC00]55 %[-] plus rapidement\nChaque coup porté avec une matraque électrique a [7CFC00]20 %[-] de chance de tuer instantanément.
perkAdvancedEngineeringRank6Desc,progression,perk Int,,,[FFD700]★ Master: Architect of Utopia ★[-],,[FFD700]★ Master : Architecte de l'Utopie ★[-]
perkAdvancedEngineeringRank6LongDesc,progression,perk Int,,,You are now an Advanced Engineer and would make MacDyver jealous.\nGain [7CFC00]125%[-] XP from electrical trap kills.\nCrafting time reduced by [7CFC00]30%[-].,,Vos connaissances en ingénierie avancée rendraient MacDyver jaloux.\nLes victimes dues aux pièges électriques vous rapportent [7CFC00]125 %[-] d'EXP.\nTemps de fabrication réduit de [7CFC00]30%[-].
perkGreaseMonkeyRank6Desc,progression,perk Int,,,[FFD700]★ Master: Apex Gearhead ★[-],,[FFD700]★ Master: Le Seigneur de la Route ★[-]
perkGreaseMonkeyRank6LongDesc,progression,perk Int,,,You increase your damage against iron by [7CFC00]50%[-] and you gain [7CFC00]30%[-] more iron.,,Vous augmentez vos dégâts de [7CFC00]50%[-] sur le fer et vous gagnez [7CFC00]30%[-] de fer en plus.
perkIntellectMasteryRank6Desc,progression,perk Int,,,[FFD700]★ Master: Doomsday Genius ★[-],,[FFD700]★ Master : Génie de l'Apocalypse ★[-]
perkIntellectMasteryRank6LongDesc,progression,perk Int,,,Adds a [7CFC00]100%[-] chance to gain 2 skill points when reading magazines\nVehicles take [7CFC00]40%[-] less damage and consume [7CFC00]40%[-] less fuel.,,Ajoute [7CFC00]100 %[-] de chance d'obtenir 2 points de compétence en lisant des magazines\nLes véhicules subissent [7CFC00]40 %[-] de dégâts en moins et consomment [7CFC00]40 %[-] de carburant en moins.






























